S.0;Linux
Algoritmo;Bubble Sort
Forma Datos;Invertido
Elementos;Tiempo
10000;0.16
20000;0.572
30000;1.158
40000;1.947
50000;2.867
60000;3.979
70000;5.286
80000;6.776
90000;8.437
100000;10.286
110000;12.319
120000;14.843
130000;17.423
140000;20.167
150000;22.901
160000;25.938
170000;29.16
180000;32.533
190000;36.175
200000;39.937
210000;43.903
220000;48.232
230000;52.346
240000;56.901
250000;61.671
260000;66.465
270000;71.644
280000;77.1
290000;82.427
300000;88.032
310000;93.926
320000;99.905
330000;106.254
340000;112.633
350000;119.157
360000;125.957
370000;132.965
380000;140.259
390000;147.421
400000;155.043
410000;162.86
420000;170.436
430000;178.651
440000;186.868
450000;195.344
460000;204.117
470000;212.877
480000;222.05
490000;231.122
500000;240.802
510000;250.1
520000;259.862
530000;269.825
540000;280.066
550000;290.426
560000;300.899
570000;311.505
580000;322.574
590000;333.5
600000;344.603
610000;356.333
620000;366.81
630000;378.663
640000;390.749
650000;402.765
660000;415.295
670000;427.859
680000;440.926
690000;453.649
700000;467.452
710000;480.272
720000;494.69
730000;508.293
740000;522.937
750000;539.508
760000;551.011
770000;565.33
780000;579.849
790000;594.472
800000;609.476
810000;624.735
820000;640.156
830000;655.546
840000;671.336
850000;687.008
860000;703.159
870000;719.28
880000;736.043
890000;753.358
900000;769.919
910000;787.621
920000;804.365
930000;824.841
940000;839.298
950000;857.091
960000;875.53
970000;893.723
980000;912.024
990000;931.094
